n,m,sigma,eps,alg_id,algo_name,rounds,avg_time,median_time,max_time,avg_ratio,median_ratio,max_ratio
10000,2000,100,0.2,0,"Brute force",5,0.0013389,0.000914958,0.00215663,0,0,0
10000,2000,100,0.2,2,"Sqrt",5,0.000135384,0.000105833,0.000228125,0,0,0
10000,2000,100,0.2,3,"Projection to 2/eps alphabet",5,0.0225123,0.0220397,0.0247098,0.1328,0.14,0.14
10000,2000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.0172018,0.017256,0.0174064,0.1304,0.128,0.152
10000,2000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.00154074,0.00153742,0.00156233,0.1128,0.116,0.116
10000,2000,100,0.2,6,"Heuristic 1: TP score",5,0.0106888,0.0106736,0.0107557,0.2,0.2,0.2
10000,2000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.00521942,0.00455642,0.00781846,0.2,0.2,0.2
100000,20000,100,0.2,0,"Brute force",5,0.146466,0.145814,0.149323,0,0,0
100000,20000,100,0.2,2,"Sqrt",5,0.00777097,0.00773638,0.00788858,0,0,0
100000,20000,100,0.2,3,"Projection to 2/eps alphabet",5,0.32342,0.322109,0.327832,0.1472,0.14,0.176
100000,20000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.266507,0.265346,0.273288,0.1352,0.14,0.14
100000,20000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.0189695,0.0189103,0.0192201,0.1016,0.104,0.104
100000,20000,100,0.2,6,"Heuristic 1: TP score",5,0.172233,0.17116,0.176574,0.2,0.2,0.2
100000,20000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.0667969,0.0587493,0.0985947,0.2,0.2,0.2
1000000,200000,100,0.2,0,"Brute force",5,14.489,14.4837,14.5892,0,0,0
1000000,200000,100,0.2,2,"Sqrt",5,1.03875,1.035,1.05883,0,0,0
1000000,200000,100,0.2,3,"Projection to 2/eps alphabet",5,4.78561,4.78724,4.82406,0.1352,0.128,0.152
1000000,200000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,3.9994,3.98943,4.04807,0.1352,0.128,0.164
1000000,200000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.240172,0.239123,0.246434,0.1232,0.112,0.184
1000000,200000,100,0.2,6,"Heuristic 1: TP score",5,2.35481,2.35139,2.3686,0.2,0.2,0.2
1000000,200000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.900016,0.72376,1.17833,0.2,0.2,0.2
1000000,50000,100,0.2,0,"Brute force",5,4.28178,4.28576,4.29489,0,0,0
1000000,50000,100,0.2,2,"Sqrt",5,0.195824,0.189351,0.226945,0,0,0
1000000,50000,100,0.2,3,"Projection to 2/eps alphabet",5,3.39655,3.39745,3.42487,0.1496,0.152,0.176
1000000,50000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,3.11731,3.09931,3.26098,0.1328,0.128,0.152
1000000,50000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.172469,0.172828,0.173112,0.1192,0.124,0.14
1000000,50000,100,0.2,6,"Heuristic 1: TP score",5,1.74798,1.72993,1.78682,0.2,0.2,0.2
1000000,50000,100,0.2,7,"Heuristic 1: TP score with magic short circuit",5,0.584287,0.514489,0.693618,0.2,0.2,0.2
